citizen_country,citizen_ISO3,citizen_region,citizen_sub_region,sex,age,country,country_ISO3,year,count
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Total,TOTAL,Slovakia,SVK,2025-02,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Total,TOTAL,Slovakia,SVK,2025-03,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2022-03,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2022-04,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2022-05,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2022-06,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2022-07,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2022-08,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2022-09,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2022-10,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2022-11,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2022-12,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2023-01,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2023-02,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2023-03,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2023-04,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2023-05,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2023-06,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2023-07,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2023-08,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2023-09,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2023-10,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2023-11,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2023-12,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2024-01,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2024-02,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2024-03,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2024-04,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2024-05,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2024-06,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2024-07,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2024-08,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2024-09,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2024-10,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2024-11,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2024-12,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2025-01,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2025-02,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Unknown,TOTAL,Slovakia,SVK,2025-03,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2022-03,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2022-04,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2022-05,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2022-06,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2022-07,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2022-08,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2022-09,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2022-10,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2022-11,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2022-12,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2023-01,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2023-02,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2023-03,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2023-04,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2023-05,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2023-06,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2023-07,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2023-08,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2023-09,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2023-10,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2023-11,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2023-12,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2024-01,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2024-02,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2024-03,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2024-04,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2024-05,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2024-06,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2024-07,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2024-08,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2024-09,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2024-10,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2024-11,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2024-12,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2025-01,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2025-02,0
Barbados,BRB,Americas,Latin America and the Caribbean,Females,TOTAL,Slovakia,SVK,2025-03,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2022-03,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2022-04,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2022-05,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2022-06,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2022-07,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2022-08,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2022-09,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2022-10,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2022-11,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2022-12,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2023-01,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2023-02,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2023-03,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2023-04,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2023-05,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2023-06,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2023-07,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2023-08,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2023-09,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2023-10,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2023-11,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2023-12,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2024-01,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2024-02,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2024-03,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2024-04,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2024-05,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2024-06,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2024-07,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2024-08,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2024-09,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2024-10,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2024-11,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2024-12,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2025-01,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2025-02,0
Barbados,BRB,Americas,Latin America and the Caribbean,Males,TOTAL,Slovakia,SVK,2025-03,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2022-03,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2022-04,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2022-05,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2022-06,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2022-07,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2022-08,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2022-09,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2022-10,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2022-11,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2022-12,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2023-01,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2023-02,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2023-03,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2023-04,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2023-05,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2023-06,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2023-07,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2023-08,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2023-09,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2023-10,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2023-11,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2023-12,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2024-01,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2024-02,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2024-03,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2024-04,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2024-05,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2024-06,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2024-07,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2024-08,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2024-09,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2024-10,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2024-11,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2024-12,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2025-01,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2025-02,0
Barbados,BRB,Americas,Latin America and the Caribbean,Total,TOTAL,Slovakia,SVK,2025-03,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2022-03,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2022-04,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2022-05,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2022-06,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2022-07,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2022-08,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2022-09,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2022-10,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2022-11,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2022-12,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2023-01,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2023-02,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2023-03,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2023-04,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2023-05,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2023-06,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2023-07,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2023-08,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2023-09,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2023-10,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2023-11,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2023-12,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2024-01,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2024-02,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2024-03,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2024-04,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2024-05,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2024-06,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2024-07,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2024-08,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2024-09,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2024-10,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2024-11,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2024-12,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2025-01,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2025-02,0
Barbados,BRB,Americas,Latin America and the Caribbean,Unknown,TOTAL,Slovakia,SVK,2025-03,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2022-03,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2022-04,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2022-05,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2022-06,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2022-07,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2022-08,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2022-09,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2022-10,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2022-11,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2022-12,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2023-01,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2023-02,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2023-03,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2023-04,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2023-05,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2023-06,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2023-07,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2023-08,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2023-09,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2023-10,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2023-11,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2023-12,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2024-01,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2024-02,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2024-03,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2024-04,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2024-05,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2024-06,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2024-07,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2024-08,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2024-09,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2024-10,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2024-11,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2024-12,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2025-01,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2025-02,0
Bangladesh,BGD,Asia,Southern Asia,Females,TOTAL,Slovakia,SVK,2025-03,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2022-03,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2022-04,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2022-05,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2022-06,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2022-07,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2022-08,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2022-09,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2022-10,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2022-11,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2022-12,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2023-01,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2023-02,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2023-03,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2023-04,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2023-05,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2023-06,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2023-07,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2023-08,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2023-09,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2023-10,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2023-11,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2023-12,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2024-01,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2024-02,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2024-03,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2024-04,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2024-05,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2024-06,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2024-07,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2024-08,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2024-09,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2024-10,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2024-11,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2024-12,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2025-01,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2025-02,0
Bangladesh,BGD,Asia,Southern Asia,Males,TOTAL,Slovakia,SVK,2025-03,0
Bangladesh,BGD,Asia,Southern Asia,Total,TOTAL,Slovakia,SVK,2022-03,0
Bangladesh,BGD,Asia,Southern Asia,Total,TOTAL,Slovakia,SVK,2022-04,0
Bangladesh,BGD,Asia,Southern Asia,Total,TOTAL,Slovakia,SVK,2022-05,0
Bangladesh,BGD,Asia,Southern Asia,Total,TOTAL,Slovakia,SVK,2022-06,0
Bangladesh,BGD,Asia,Southern Asia,Total,TOTAL,Slovakia,SVK,2022-07,0
Bangladesh,BGD,Asia,Southern Asia,Total,TOTAL,Slovakia,SVK,2022-08,0
Bangladesh,BGD,Asia,Southern Asia,Total,TOTAL,Slovakia,SVK,2022-09,0
Bangladesh,BGD,Asia,Southern Asia,Total,TOTAL,Slovakia,SVK,2022-10,0
Bangladesh,BGD,Asia,Southern Asia,Total,TOTAL,Slovakia,SVK,2022-11,0
Bangladesh,BGD,Asia,Southern Asia,Total,TOTAL,Slovakia,SVK,2022-12,0
Bangladesh,BGD,Asia,Southern Asia,Total,TOTAL,Slovakia,SVK,2023-01,0
Bangladesh,BGD,Asia,Southern Asia,Total,TOTAL,Slovakia,SVK,2023-02,0
